txn_id_clean,timestamp_clean,transaction_date,transaction_hour,transaction_month,user_id_clean,merchant_id_clean,amount_clean,amount_abs,amount_negative_flag,amount_missing_flag,utr_clean,utr_valid_flag,utr_missing_flag,mcc_clean,status_clean,successful_flag,failed_flag,pending_flag,merchant_name_clean,merchant_category_analysis,business_type_clean,merchant_status_clean,declared_avg_ticket_clean,city_clean,state_clean,monthly_income_clean,occupation_clean,kyc_status_clean,risk_segment_clean,chargeback_flag,chargeback_count,chargeback_amount,chargeback_fraud_count,chargeback_high_severity_count,user_chargeback_count,user_disputed_amount,merchant_chargeback_count,merchant_disputed_amount,minutes_since_prev_user_txn,rapid_transaction_flag,merchant_daily_txn_count,merchant_spike_flag,high_value_flag,high_risk_user_flag,high_risk_merchant_flag,risk_signal_score,risk_signal_level,kyc_fk_valid_flag,merchant_fk_valid_flag,reporting_delay_hours,reported_after_7_days_flag,data_quality_issue_count,data_quality_status
TXN00003140,2026-01-05 09:33:52,2026-01-05,9,2026-01,USR10001,MCH7754,1720.78,1720.78,False,False,UTR9582999977,True,False,5812,Failed,False,True,False,,Food Services,,,,Pune,Maharashtra,37535.0,Retired,Verified,Medium,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,5,Low,True,False,,False,1,Needs Review
TXN00019314,2026-03-06 22:13:12,2026-03-06,22,2026-03,USR10006,MCH5742,8445.34,8445.34,False,False,UTR1697650520,True,False,5812,Pending,False,False,True,,Food Services,,,,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,False,False,,False,2,Needs Review
TXN00019634,2026-02-11 00:00:00,2026-02-11,0,2026-02,USR10007,MCH8176,12698.2,12698.2,False,False,UTR1853863028,True,False,5411,Success,True,False,False,Bala Plc,Department Store,Sole Proprietor,Active,3488.0,Bangalore,Karnataka,20393.0,Unemployed,Verified,Medium,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,True,True,,False,0,Clean
TXN00008217,2026-03-13 14:46:36,2026-03-13,14,2026-03,USR10007,MCH2501,14075.13,14075.13,False,False,UTR7905031096,True,False,5812,Success,True,False,False,Ravel Inc,Medical,Partnership,Active,2494.94,Bangalore,Karnataka,20393.0,Unemployed,Verified,Medium,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44086.6,False,1,False,False,False,False,0,Low,True,True,,False,0,Clean
TXN00014073,2026-01-21 09:02:39,2026-01-21,9,2026-01,USR10011,MCH6493,8691.46,8691.46,False,False,UTR8405170927,True,False,7011,Success,True,False,False,"Subramaniam, Prashad And Parmer",Transportation,Sole Proprietor,Inactive,,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,False,True,,False,1,Needs Review
TXN00005067,2026-02-14 08:17:44,2026-02-14,8,2026-02,USR10012,MCH9499,11874.48,11874.48,False,False,UTR9377715040,True,False,7011,Success,True,False,False,,Hotel & Lodging,,,,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,False,False,,False,2,Needs Review
TXN00014629,2026-02-19 06:23:05,2026-02-19,6,2026-02,USR10017,MCH3949,16402.16,16402.16,False,False,UTR9245307976,True,False,4131,Success,True,False,False,,Transportation,,,,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,False,False,,False,2,Needs Review
TXN00004317,2026-01-22 11:02:28,2026-01-22,11,2026-01,USR10027,MCH7654,18054.43,18054.43,False,False,UTR7672686035,True,False,7011,Success,True,False,False,Chakraborty Inc,Apparel,Sole Proprietor,Active,1250.0,Delhi,Delhi,18134.0,Retired,Other,Low,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,True,True,,False,0,Clean
TXN00013136,2026-01-14 10:46:49,2026-01-14,10,2026-01,USR10032,MCH3474,24876.37,24876.37,False,False,UTR5267841788,True,False,7011,Failed,False,True,False,,Hotel & Lodging,,,,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,True,False,False,5,Low,False,False,,False,2,Needs Review
TXN00003134,2026-01-20 07:50:18,2026-01-20,7,2026-01,USR10035,MCH7111,13610.91,13610.91,False,False,UTR2576527872,True,False,5411,Success,True,False,False,Kohli-Zachariah,Grocery,Partnership,Active,585.6,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,False,True,,False,1,Needs Review
TXN00007405,2026-02-20 18:00:20,2026-02-20,18,2026-02,USR10044,MCH1264,9096.65,9096.65,False,False,UTR4870744531,True,False,4131,Success,True,False,False,,Transportation,,,,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,False,False,,False,2,Needs Review
TXN00001549,2026-03-26 00:00:00,2026-03-26,0,2026-03,USR10046,MCH2198,1094.88,1094.88,False,False,UTR6550967137,True,False,7011,Success,True,False,False,"Arya, Dalal And Keer",Food Services,Private Limited,Active,2776.31,Jalandhar,Punjab,33616.0,Self Employed,Verified,Medium,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,True,True,,False,0,Clean
TXN00007451,2026-02-16 00:00:00,2026-02-16,0,2026-02,USR10055,MCH4138,13414.9,13414.9,False,False,UTR2066511466,True,False,5411,Success,True,False,False,,Grocery,,,,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,False,False,,False,2,Needs Review
TXN00005978,2026-03-23 00:00:00,2026-03-23,0,2026-03,USR10060,MCH9608,3756.23,3756.23,False,False,UTR0881589581,True,False,7011,Failed,False,True,False,,Hotel & Lodging,,,,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,5,Low,False,False,,False,2,Needs Review
TXN00016879,2026-01-31 19:19:38,2026-01-31,19,2026-01,USR10061,MCH7854,5690.29,5690.29,False,False,UTR8947396258,True,False,5812,Success,True,False,False,,Food Services,,,,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,False,False,,False,2,Needs Review
TXN00000936,2026-02-27 11:12:36,2026-02-27,11,2026-02,USR10064,MCH5224,6814.96,6814.96,False,False,UTR7235721452,True,False,5812,Success,True,False,False,Prabhakar-Baral,Other,Sole Proprietor,Active,873.18,Ludhiana,Punjab,,Gig Worker,Pending,Unknown,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,True,True,,False,0,Clean
TXN00009479,2026-01-01 09:34:36,2026-01-01,9,2026-01,USR10069,MCH7948,7005.63,7005.63,False,False,UTR1717866717,True,False,5912,Success,True,False,False,Sachdeva-Buch,Department Store,Partnership,Active,656.76,Mumbai,Maharashtra,49895.0,Business Owner,Verified,Medium,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,True,True,,False,0,Clean
TXN00010641,2026-03-19 11:30:56,2026-03-19,11,2026-03,USR10071,MCH1139,14301.02,14301.02,False,False,UTR2005188368,True,False,4131,Initiated,False,False,False,,Transportation,,,,,,,,,,True,1,9500.5,1.0,1.0,1.0,9500.5,1.0,9500.5,,False,1,False,False,False,False,55,High,False,False,91.0,False,2,Needs Review
TXN00012790,2026-01-10 15:22:20,2026-01-10,15,2026-01,USR10074,MCH6217,8987.19,8987.19,False,False,UTR6994728034,True,False,4131,Failed,False,True,False,,Transportation,,,,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,1.0,1538.91,,False,1,False,False,False,False,5,Low,False,False,,False,2,Needs Review
TXN00004172,2026-02-18 03:18:12,2026-02-18,3,2026-02,USR10074,MCH7343,24683.53,24683.53,False,False,UTR8117220127,True,False,5812,Success,True,False,False,Dixit Ltd,Medical,Partnership,Active,3142.0,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55435.86666666667,False,1,False,True,False,False,0,Low,False,True,,False,1,Needs Review
TXN00004006,2026-02-16 03:59:45,2026-02-16,3,2026-02,USR10075,MCH1278,6711.68,6711.68,False,False,UTR1314976464,True,False,5912,Success,True,False,False,,Medical,,,,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,False,False,,False,2,Needs Review
TXN00003321,2026-01-27 08:55:26,2026-01-27,8,2026-01,USR10078,MCH9972,13714.99,13714.99,False,False,UTR5942560726,True,False,7011,Success,True,False,False,"Bakshi, Tata And Parmer",Department Store,Sole Proprietor,Active,1398.48,Bangalore,Karnataka,,Unemployed,Other,High,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,True,False,20,Medium,True,True,,False,0,Clean
TXN00010671,2026-03-14 13:18:15,2026-03-14,13,2026-03,USR10082,MCH3237,22723.1,22723.1,False,False,,False,True,,Success,True,False,False,Gaba Inc,Other,Sole Proprietor,Suspended,,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,True,25,Medium,False,True,,False,3,Needs Attention
TXN00008463,2026-02-21 02:06:58,2026-02-21,2,2026-02,USR10085,MCH9212,6766.88,6766.88,False,False,,False,True,5912,Success,True,False,False,,Medical,,,,Hyderabad,Telangana,,Retired,Verified,Medium,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,10,Low,True,False,,False,3,Needs Attention
TXN00006235,2026-03-27 02:29:45,2026-03-27,2,2026-03,USR10085,MCH8082,9473.8,9473.8,False,False,UTR0359990827,True,False,,Processing,False,False,True,Contractor And Sons,Hotel & Lodging,Sole Proprietor,Active,4480.58,Hyderabad,Telangana,,Retired,Verified,Medium,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48982.78333333333,False,1,False,False,False,False,0,Low,True,True,,False,0,Clean
TXN00016636,2026-02-05 05:09:21,2026-02-05,5,2026-02,USR10086,MCH2137,12874.26,12874.26,False,False,UTR6422700877,True,False,5411,Success,True,False,False,Saran And Sons,Apparel,Private Limited,Active,2376.86,Bangalore,Karnataka,29650.0,Retired,Rejected,Low,True,1,6720.23,0.0,0.0,1.0,6720.23,1.0,6720.23,,False,1,False,False,False,False,20,Medium,True,True,,False,0,Clean
TXN00017864,2026-01-11 14:53:16,2026-01-11,14,2026-01,USR10088,MCH6132,3809.97,3809.97,False,False,UTR8547285882,True,False,5812,Success,True,False,False,,Food Services,,,,Ludhiana,Punjab,26367.0,Student,Verified,Low,True,1,2911.37,0.0,1.0,1.0,2911.37,1.0,2911.37,,False,1,False,False,False,False,20,Medium,True,False,96.0,False,1,Needs Review
TXN00001379,2026-02-02 00:29:53,2026-02-02,0,2026-02,USR10094,MCH1173,8987.24,8987.24,False,False,UTR8297632499,True,False,5411,Success,True,False,False,,Grocery,,,,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,2.0,2773.41,,False,1,False,False,False,True,0,Low,False,False,,False,2,Needs Review
TXN00013772,2026-02-01 21:44:16,2026-02-01,21,2026-02,USR10100,MCH2458,20357.0,20357.0,False,False,UTR0757042280,True,False,,Success,True,False,False,,Unknown / Unmapped,,,,Jalandhar,Punjab,79104.0,Student,Verified,Low,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,True,False,,False,1,Needs Review
TXN00015720,2026-02-06 19:21:17,2026-02-06,19,2026-02,USR10104,MCH4652,18458.04,18458.04,False,False,UTR1828441345,True,False,7011,Success,True,False,False,Varghese-Ramachandran,Transportation,Private Limited,Active,-2348.76,,,,,,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,1,False,False,False,False,0,Low,False,True,,False,1,Needs Review
TXN00010435,2026-01-27 07:21:31,2026-01-27,7,2026-01,USR10107,MCH2424,22698.19,22698.19,False,False,UTR7657732811,True,False,5812,Failed,False,True,False,Patil Ltd,Medical,Partnership,Active,737.41,Hyderabad,Telangana,47795.0,Self Employed,Verified,Low,False,0,0.0,0.0,0.0,0.0,0.0,1.0,815.57,,False,1,False,False,False,False,5,Low,True,True,,False,0,Clean
